GEOID,x_coords,y_coords
4019004031,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.15506513359522, 32.111763863406004, 32.025161323027554, 31.981860052838336, 32.025161323027554, 32.111763863406004, 32.15506513359522]"
4019004032,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.58807783548744, 32.54477656529822, 32.45817402491977, 32.41487275473055, 32.45817402491977, 32.54477656529822, 32.58807783548744]"
4019002702,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.06846259321677, 32.025161323027554, 31.938558782649107, 31.895257512459885, 31.938558782649107, 32.025161323027554, 32.06846259321677]"
4019002801,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.67468037586588, 32.631379105676665, 32.544776565298214, 32.501475295108996, 32.544776565298214, 32.631379105676665, 32.67468037586588]"
4019002802,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.37157148454133, 32.32827021435211, 32.24166767397366, 32.19836640378444, 32.24166767397366, 32.32827021435211, 32.37157148454133]"
4019002803,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.284968944162884, 32.241667673973666, 32.155065133595215, 32.111763863406, 32.155065133595215, 32.241667673973666, 32.284968944162884]"
4019004034,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.19836640378444, 32.15506513359522, 32.06846259321677, 32.025161323027554, 32.06846259321677, 32.15506513359522, 32.19836640378444]"
4019004035,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.111763863406, 32.06846259321678, 31.981860052838332, 31.93855878264911, 31.981860052838332, 32.06846259321678, 32.111763863406]"
4019004038,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.45817402491977, 32.41487275473055, 32.3282702143521, 32.284968944162884, 32.3282702143521, 32.41487275473055, 32.45817402491977]"
4019004043,"[-111.8163, -111.7413, -111.7413, -111.8163, -111.8913, -111.8913, -111.8163]","[32.761282916244326, 32.71798164605511, 32.63137910567666, 32.58807783548744, 32.63137910567666, 32.71798164605511, 32.761282916244326]"
4019004044,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.544776565298214, 32.501475295108996, 32.414872754730546, 32.37157148454133, 32.414872754730546, 32.501475295108996, 32.544776565298214]"
4019004042,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.025161323027554, 31.98186005283833, 31.895257512459885, 31.851956242270663, 31.895257512459885, 31.98186005283833, 32.025161323027554]"
4019004047,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.63137910567666, 32.58807783548744, 32.50147529510899, 32.45817402491977, 32.50147529510899, 32.58807783548744, 32.63137910567666]"
4019004048,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[31.938558782649107, 31.895257512459885, 31.80865497208144, 31.76535370189222, 31.80865497208144, 31.895257512459885, 31.938558782649107]"
4019004049,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.32827021435211, 32.28496894416289, 32.19836640378444, 32.15506513359522, 32.19836640378444, 32.28496894416289, 32.32827021435211]"
